Generation ; Total points ; Points from boxes ; Points from kills ; Steps ; Ray radius ; Sight ; moving speed ; Random direction ; Enemy weight ; Enemy distance factor ; Bullet weight ; Bullet distance factor ; Box weight ; Box distance factor ; projectile Speed ; Fire rate per minute 
0 ; 4 ; 1 ; 3 ; 19 ; 16 ; 30 ; 4 ; (-3,73, 1,00) ; 0 ; 0 ; -1,527417 ; 0 ; 0 ; 3,04038 ; 13,05851 ; 16,81263 
1 ; 5 ; 2 ; 3 ; 26 ; 15 ; 30 ; 4 ; (-1,00, 1,00) ; 3,598508 ; 2,800853 ; 0 ; -1,800529 ; 0 ; 2,505715 ; 11,85872 ; 14,98141 
2 ; 6 ; 3 ; 3 ; 26 ; 15 ; 29,90989 ; 4,72091 ; (-1,00, 1,00) ; 3,598508 ; 2,800853 ; -2,176802 ; -1,800529 ; 0 ; 2,505715 ; 11,85872 ; 14,98141 
3 ; 6 ; 0 ; 6 ; 24 ; 15 ; 29,80463 ; 5,562972 ; (-1,00, 4,06) ; -2,35147 ; 5,933219 ; -4,353604 ; -1,800529 ; 2,505085 ; 0,6737695 ; 11,85872 ; 14,98141 
4 ; 6 ; 0 ; 6 ; 24 ; 15 ; 32,62062 ; 5,266766 ; (-2,80, -0,97) ; 3,402182 ; 4,659569 ; -4,353604 ; -3,335688 ; -3,411204 ; 1,093445 ; 11,85872 ; 13,48595 
5 ; 4 ; 1 ; 3 ; 24 ; 15 ; 32,62062 ; 5,266766 ; (-4,26, 1,00) ; 3,402182 ; 4,659569 ; -4,353604 ; -3,335688 ; -0,3134146 ; 1,341856 ; 9,599787 ; 13,48595 
6 ; 7 ; 1 ; 6 ; 24 ; 15 ; 32,62062 ; 5,266766 ; (-3,53, -2,93) ; 3,402182 ; 4,659569 ; -4,353604 ; -3,335688 ; -1,862309 ; 0,8450346 ; 10,72925 ; 13,48595 
7 ; 5 ; 2 ; 3 ; 25 ; 15 ; 31,36339 ; 5,266766 ; (-3,53, -2,93) ; 3,428277 ; 4,659569 ; -2,528715 ; -3,335688 ; -1,862309 ; 0,8450346 ; 10,72925 ; 13,48595 
8 ; 8 ; 2 ; 6 ; 26 ; 15 ; 30,10615 ; 5,266766 ; (-3,53, -2,93) ; 3,454372 ; 4,659569 ; -0,7038264 ; -3,335688 ; -1,862309 ; 0,8450346 ; 10,72925 ; 13,48595 
9 ; 8 ; 2 ; 6 ; 27 ; 15 ; 28,84891 ; 5,266766 ; (-3,53, -2,93) ; 3,480467 ; 4,659569 ; 1,121063 ; -3,335688 ; -1,862309 ; 0,8450346 ; 10,72925 ; 13,48595 
10 ; 3 ; 0 ; 3 ; 26 ; 15 ; 41,02319 ; 4,741607 ; (-8,93, -2,93) ; 13,62137 ; 10,23572 ; -4,353604 ; -7,941162 ; -12,09592 ; -2,646542 ; 10,72925 ; 8,999548 
11 ; 3 ; 0 ; 3 ; 26 ; 13 ; 40,65072 ; 7,621933 ; (-8,93, -0,97) ; 15,5441 ; 7,848072 ; -4,353604 ; -7,642267 ; -14,79613 ; 0,3097019 ; 12,15889 ; 8,985251 
12 ; 4 ; 1 ; 3 ; 26 ; 15 ; 43,42844 ; 7,731383 ; (-10,73, -2,93) ; 16,12708 ; 12,09444 ; -5,418298 ; -9,47632 ; -15,50712 ; -3,810401 ; 10,72925 ; 7,504082 
13 ; 3 ; 0 ; 3 ; 28 ; 13 ; 43,22736 ; 7,129272 ; (-7,20, -0,97) ; 15,5441 ; 7,848072 ; -3,502383 ; -7,642267 ; -15,38055 ; -2,587826 ; 8,943496 ; 8,985251 
14 ; 3 ; 0 ; 3 ; 28 ; 12 ; 48,48583 ; 3,94357 ; (-7,88, -2,93) ; 16,12708 ; 12,09444 ; -3,502383 ; -9,47632 ; -16,09155 ; -6,707929 ; 9,268412 ; 7,486536 
15 ; 4 ; 1 ; 3 ; 28 ; 12 ; 48,48583 ; 3,94357 ; (-7,88, -2,93) ; 16,12708 ; 13,47552 ; -3,502383 ; -9,47632 ; -17,28231 ; -6,707929 ; 7,96641 ; 7,486536 
16 ; 3 ; 0 ; 3 ; 23 ; 10 ; 45,5136 ; 5,397039 ; (-11,01, -5,76) ; 18,82912 ; 12,09444 ; -5,418298 ; -9,587171 ; -18,75917 ; -5,133227 ; 12,4838 ; 6 
17 ; 4 ; 1 ; 3 ; 25 ; 12 ; 47,39398 ; 8,095817 ; (-11,74, -5,95) ; 20,70041 ; 12,09444 ; -5,418298 ; -11,3388 ; -13,95823 ; -3,810401 ; 14,28463 ; 7,457233 
18 ; 4 ; 1 ; 3 ; 27 ; 12 ; 47,39398 ; 8,095817 ; (-11,74, -5,95) ; 23,40245 ; 12,09444 ; -5,418298 ; -11,3388 ; -13,95823 ; -3,810401 ; 14,28463 ; 7,457233 
19 ; 4 ; 1 ; 3 ; 31 ; 12 ; 53,33846 ; 1 ; (-7,56, -5,95) ; 23,40245 ; 12,09444 ; -1,586468 ; -11,3388 ; -16,67597 ; -9,605456 ; 8,98332 ; 7,457233 
20 ; 3 ; 0 ; 3 ; 31 ; 11 ; 50,36622 ; 4,438325 ; (-6,24, -2,87) ; 27,94789 ; 12,9701 ; -3,502383 ; -11,40973 ; -16,09155 ; -6,985738 ; 12,19871 ; 7,457233 
21 ; 4 ; 1 ; 3 ; 33 ; 12 ; 53,24834 ; 1,72091 ; (-7,56, -5,95) ; 26,10449 ; 12,09444 ; -3,76327 ; -11,3388 ; -16,67597 ; -9,605456 ; 8,98332 ; 7,457233 
22 ; 3 ; 0 ; 3 ; 37 ; 12 ; 56,31069 ; 1 ; (-5,83, -5,95) ; 28,80653 ; 12,09444 ; 0,329447 ; -11,3388 ; -17,2604 ; -12,50298 ; 5,767931 ; 7,457233 
23 ; 3 ; 0 ; 3 ; 33 ; 14 ; 53,04342 ; 3,360326 ; (-7,56, -2,89) ; 22,85655 ; 12,05846 ; -4,120123 ; -11,3388 ; -14,17089 ; -11,4374 ; 8,98332 ; 6 
24 ; 3 ; 0 ; 3 ; 39 ; 12 ; 56,31069 ; 1 ; (-5,83, -5,95) ; 31,50857 ; 13,47552 ; 0,329447 ; -11,3388 ; -18,45116 ; -12,50298 ; 4,465929 ; 7,457233 
25 ; 3 ; 0 ; 3 ; 39 ; 12 ; 58,19108 ; 1,617101 ; (-5,83, -5,95) ; 33,37986 ; 13,47552 ; 0,329447 ; -11,3388 ; -18,45116 ; -12,50298 ; 7,396226 ; 7,42793 
26 ; 3 ; 0 ; 3 ; 39 ; 12 ; 60,07146 ; 2,111856 ; (-5,83, -5,95) ; 35,25114 ; 13,47552 ; 0,329447 ; -11,3388 ; -18,45116 ; -12,50298 ; 10,32652 ; 7,398627 
27 ; 4 ; 1 ; 3 ; 39 ; 12 ; 60,07146 ; 2,111856 ; (-5,83, -7,91) ; 35,25114 ; 13,47552 ; 0,329447 ; -11,3388 ; -18,45116 ; -12,75139 ; 10,32652 ; 7,398627 
28 ; 4 ; 1 ; 3 ; 37 ; 13 ; 60,08652 ; 2,826193 ; (-5,83, -7,91) ; 32,5491 ; 13,47552 ; -1,847355 ; -11,3388 ; -21,02044 ; -12,75139 ; 10,32652 ; 7,398627 
29 ; 3 ; 0 ; 3 ; 37 ; 12 ; 58,33107 ; 4,841178 ; (-5,89, -9,88) ; 32,5491 ; 13,47552 ; -1,847355 ; -11,3388 ; -18,45116 ; -12,99981 ; 10,32652 ; 7,398627 
30 ; 3 ; 0 ; 3 ; 39 ; 13 ; 59,69091 ; 5,991023 ; (-5,83, -7,91) ; 35,25114 ; 13,47552 ; -2,912049 ; -11,3388 ; -21,02044 ; -12,75139 ; 10,32652 ; 7,398627 
31 ; 4 ; 1 ; 3 ; 37 ; 14 ; 59,79608 ; 5,98445 ; (-5,83, -9,88) ; 32,5491 ; 13,47552 ; -2,912049 ; -11,3388 ; -23,58972 ; -12,99981 ; 10,32652 ; 7,398627 
32 ; 5 ; 2 ; 3 ; 35 ; 12 ; 59,37406 ; 6,321831 ; (-2,86, -9,69) ; 32,88548 ; 13,89511 ; -6,203861 ; -9,587171 ; -24,27248 ; -14,32263 ; 7,592794 ; 6 
33 ; 4 ; 1 ; 3 ; 37 ; 16 ; 59,6063 ; 7,502713 ; (-6,56, -9,88) ; 32,5491 ; 10,30717 ; -3,268902 ; -11,3388 ; -22,04082 ; -12,99981 ; 9,19706 ; 6 
34 ; 4 ; 1 ; 3 ; 37 ; 15 ; 59,51619 ; 8,223623 ; (-2,79, -6,80) ; 34,39249 ; 11,18283 ; -5,445704 ; -11,40973 ; -23,58972 ; -13,27761 ; 10,32652 ; 6 
35 ; 4 ; 1 ; 3 ; 39 ; 15 ; 61,74253 ; 7,369198 ; (-4,45, -8,78) ; 37,09453 ; 11,18283 ; -0,5301521 ; -12,90825 ; -23,58972 ; -13,27761 ; 12,7559 ; 6 
36 ; 3 ; 0 ; 3 ; 39 ; 17 ; 59,3264 ; 9,741886 ; (-2,79, -6,80) ; 37,09453 ; 8,014489 ; -5,802558 ; -11,40973 ; -23,58972 ; -13,27761 ; 10,32652 ; 6 
37 ; 4 ; 1 ; 3 ; 39 ; 17 ; 59,31126 ; 9,863039 ; (-2,79, -3,75) ; 33,8466 ; 11,14686 ; -5,802558 ; -11,40973 ; -21,08463 ; -15,10956 ; 10,32652 ; 6 
38 ; 3 ; 0 ; 3 ; 41 ; 17 ; 59,3264 ; 9,741886 ; (-2,79, -6,80) ; 39,79657 ; 9,395569 ; -5,802558 ; -11,40973 ; -24,78048 ; -13,27761 ; 9,024522 ; 6 
39 ; 3 ; 0 ; 3 ; 41 ; 17 ; 59,3264 ; 9,741886 ; (-2,79, -8,77) ; 39,79657 ; 9,395569 ; -5,802558 ; -11,40973 ; -24,78048 ; -13,52603 ; 9,024522 ; 6 
40 ; 5 ; 2 ; 3 ; 39 ; 17 ; 59,22115 ; 10,58395 ; (-2,79, -5,71) ; 33,8466 ; 12,52794 ; -7,97936 ; -11,40973 ; -22,27539 ; -15,35797 ; 9,024522 ; 6 
41 ; 3 ; 0 ; 3 ; 39 ; 17 ; 59,29612 ; 9,984192 ; (-3,52, -2,65) ; 30,59866 ; 15,6603 ; -5,802558 ; -11,40973 ; -18,22141 ; -17,18992 ; 7,895057 ; 6 
42 ; 3 ; 0 ; 3 ; 41 ; 17 ; 61,44749 ; 9,729525 ; (-5,18, -7,69) ; 36,54864 ; 12,52794 ; -3,063808 ; -12,90825 ; -20,7265 ; -15,35797 ; 10,32443 ; 6 
43 ; 3 ; 0 ; 3 ; 39 ; 17 ; 61,44749 ; 9,729525 ; (-5,18, -7,69) ; 36,54864 ; 12,52794 ; -3,063808 ; -12,67724 ; -20,7265 ; -15,35797 ; 10,32443 ; 6 
44 ; 4 ; 1 ; 3 ; 37 ; 17 ; 64,24834 ; 9,554471 ; (-7,71, -7,69) ; 36,35231 ; 14,38665 ; -3,063808 ; -14,2124 ; -22,5888 ; -16,52183 ; 9,194967 ; 6 
45 ; 4 ; 1 ; 3 ; 39 ; 17 ; 64,15823 ; 10,27538 ; (-6,98, -7,69) ; 39,05435 ; 14,38665 ; -5,24061 ; -14,2124 ; -24,1377 ; -16,52183 ; 10,32443 ; 6 
46 ; 4 ; 1 ; 3 ; 39 ; 17 ; 66,38458 ; 9,420957 ; (-8,65, -11,63) ; 39,05435 ; 14,38665 ; -0,325058 ; -15,71092 ; -24,1377 ; -16,77024 ; 12,75381 ; 6 
47 ; 4 ; 1 ; 3 ; 40 ; 17 ; 65,12734 ; 9,420957 ; (-8,65, -11,63) ; 39,08045 ; 14,38665 ; 1,499831 ; -15,71092 ; -24,1377 ; -16,77024 ; 12,75381 ; 6 
48 ; 4 ; 1 ; 3 ; 39 ; 16 ; 64,35351 ; 9,448508 ; (-7,71, -9,65) ; 39,05435 ; 11,999 ; -3,063808 ; -13,9135 ; -27,85829 ; -14,06241 ; 9,194967 ; 6 
49 ; 3 ; 0 ; 3 ; 41 ; 15 ; 64,35351 ; 9,448508 ; (-3,94, -6,58) ; 43,59979 ; 12,87467 ; -3,063808 ; -13,98444 ; -29,40719 ; -14,34022 ; 10,32443 ; 6 
50 ; 3 ; 0 ; 3 ; 41 ; 17 ; 64,16373 ; 10,96677 ; (-3,94, -6,58) ; 43,59979 ; 9,706323 ; -3,420661 ; -13,98444 ; -29,40719 ; -14,34022 ; 10,32443 ; 6 
