Generation ; Total points ; Points from boxes ; Points from kills ; Steps ; Ray radius ; Sight ; moving speed ; Random direction ; Enemy weight ; Enemy distance factor ; Bullet weight ; Bullet distance factor ; Box weight ; Box distance factor ; projectile Speed ; Fire rate per minute 
0 ; 5 ; 2 ; 3 ; 21 ; 15 ; 32,54924 ; 5,897778 ; (-1,00, 1,00) ; 0 ; 0 ; 0 ; -0,1133893 ; 1,948412 ; 0 ; 9,998846 ; 15,11536 
1 ; 7 ; 4 ; 3 ; 19 ; 16 ; 30 ; 4 ; (-4,46, 1,00) ; 0 ; 0 ; -1,527417 ; 0 ; 1,548895 ; 3,04038 ; 11,92905 ; 16,81263 
2 ; 6 ; 0 ; 6 ; 21 ; 16 ; 29,98486 ; 4,121153 ; (-3,73, 4,06) ; -0,5458961 ; 3,132366 ; -1,527417 ; 0 ; 2,505085 ; 1,208435 ; 13,05851 ; 16,81263 
3 ; 7 ; 1 ; 6 ; 21 ; 16 ; 34,38279 ; 3,726076 ; (-5,40, -4,27) ; 2,702041 ; 0 ; 1,211333 ; -1,498519 ; 0 ; 3,04038 ; 15,48789 ; 16,78833 
4 ; 5 ; 2 ; 3 ; 21 ; 16 ; 32,13623 ; 3,866485 ; (-5,40, -4,91) ; 2,702041 ; 0 ; 1,211333 ; -1,498519 ; 0 ; 2,543559 ; 15,48789 ; 16,78833 
5 ; 7 ; 1 ; 6 ; 21 ; 16 ; 32,13623 ; 3,866485 ; (-5,40, -4,91) ; 2,702041 ; 1,38108 ; 1,211333 ; -1,498519 ; -1,190759 ; 2,543559 ; 14,18588 ; 16,78833 
6 ; 6 ; 3 ; 3 ; 22 ; 16 ; 35,55394 ; 6,530739 ; (-7,20, -4,27) ; 7,156579 ; 1,858716 ; 3,036222 ; -3,033678 ; -3,411204 ; 1,876521 ; 16,91752 ; 15,27857 
7 ; 5 ; 2 ; 3 ; 22 ; 13 ; 37,6391 ; 6,400417 ; (-6,07, -4,27) ; 7,156579 ; 1,858716 ; 3,036222 ; -3,033678 ; -3,411204 ; 1,876521 ; 18,67207 ; 15,26102 
8 ; 7 ; 1 ; 6 ; 19 ; 16 ; 30,879 ; 3,866485 ; (-6,81, -9,89) ; 2,728136 ; 1,38108 ; 3,036222 ; -3,360995 ; -1,190759 ; 2,295148 ; 14,18588 ; 16,78833 
9 ; 6 ; 3 ; 3 ; 23 ; 13 ; 38,26225 ; 6,895173 ; (-6,07, -4,27) ; 9,053955 ; 1,858716 ; 4,861111 ; -3,033678 ; -3,411204 ; 1,876521 ; 21,60237 ; 15,23172 
10 ; 6 ; 3 ; 3 ; 23 ; 15 ; 38,07247 ; 8,413436 ; (-6,07, -4,27) ; 9,053955 ; -1,309629 ; 4,504257 ; -3,033678 ; -3,411204 ; 1,876521 ; 21,60237 ; 12,02477 
11 ; 7 ; 4 ; 3 ; 23 ; 14 ; 38,2508 ; 9,240046 ; (-7,74, -6,24) ; 9,105401 ; 1,858716 ; 7,599861 ; -4,532197 ; -5,980484 ; 1,876521 ; 22,53107 ; 15,22243 
12 ; 10 ; 7 ; 3 ; 23 ; 14 ; 37,8552 ; 12,40487 ; (-7,74, -6,24) ; 9,105401 ; 1,858716 ; 6,535167 ; -4,532197 ; -5,980484 ; 1,876521 ; 22,53107 ; 15,22243 
13 ; 6 ; 0 ; 6 ; 21 ; 15 ; 41,52929 ; 6,078703 ; (-9,54, -6,24) ; 9,688389 ; 3,717433 ; 7,599861 ; -5,836343 ; -11,96097 ; 0,7126622 ; 21,10144 ; 11,25572 
14 ; 10 ; 4 ; 6 ; 23 ; 11 ; 39,94036 ; 12,27455 ; (-8,27, -7,92) ; 11,91381 ; 3,93202 ; 6,535167 ; -4,532197 ; -5,980484 ; 1,876521 ; 24,28562 ; 15,0915 
15 ; 9 ; 3 ; 6 ; 25 ; 11 ; 41,82074 ; 12,76931 ; (-6,61, -6,24) ; 13,67872 ; 1,858716 ; 6,535167 ; -4,532197 ; -5,980484 ; 1,876521 ; 27,21592 ; 15,17558 
16 ; 10 ; 4 ; 6 ; 23 ; 11 ; 41,82074 ; 12,76931 ; (-6,61, -5,92) ; 13,67872 ; 1,858716 ; 5,754483 ; -4,532197 ; -5,582736 ; 1,876521 ; 27,21592 ; 15,17558 
