Generation ; Total points ; Points from boxes ; Points from kills ; Steps ; Ray radius ; Sight ; moving speed ; Random direction ; Enemy weight ; Enemy distance factor ; Bullet weight ; Bullet distance factor ; Box weight ; Box distance factor ; projectile Speed ; Fire rate per minute 
33 ; 8 ; 2 ; 6 ; 21 ; 14 ; 37,16018 ; 9,42343 ; (-15,75, -20,19) ; 7,693954 ; 11,89648 ; 16,07073 ; -9,502562 ; -8,563061 ; 1,313244 ; 18,79526 ; 10,64591 
34 ; 9 ; 6 ; 3 ; 21 ; 14 ; 35,02395 ; 9,556945 ; (-14,08, -17,90) ; 10,396 ; 11,89648 ; 12,55129 ; -8,004042 ; -8,165313 ; 1,313244 ; 16,36589 ; 10,67021 
35 ; 8 ; 5 ; 3 ; 21 ; 14 ; 35,02395 ; 9,556945 ; (-14,08, -19,87) ; 10,396 ; 11,89648 ; 12,55129 ; -8,004042 ; -8,165313 ; 1,064834 ; 16,36589 ; 10,67021 
36 ; 6 ; 0 ; 6 ; 23 ; 15 ; 35,1147 ; 9,665736 ; (-14,08, -17,24) ; 10,396 ; 11,89648 ; 13,33198 ; -8,004042 ; -11,13234 ; -1,974209 ; 16,36589 ; 10,23999 
37 ; 10 ; 4 ; 6 ; 23 ; 15 ; 37,0095 ; 10,04513 ; (-14,08, -22,15) ; 12,26728 ; 11,89648 ; 13,33198 ; -8,004042 ; -11,13234 ; 0,8164229 ; 19,29618 ; 10,6409 
38 ; 5 ; 2 ; 3 ; 22 ; 15 ; 37,0095 ; 10,04513 ; (-15,49, -23,20) ; 14,96932 ; 11,89648 ; 13,33198 ; -9,866518 ; -11,13234 ; 1,064834 ; 19,29618 ; 10,6409 
39 ; 7 ; 4 ; 3 ; 20 ; 16 ; 39,2509 ; 9,905041 ; (-17,15, -25,17) ; 12,26728 ; 11,89648 ; 16,07073 ; -11,36504 ; -13,70162 ; 1,064834 ; 21,72556 ; 10,61661 
40 ; 8 ; 5 ; 3 ; 17 ; 16 ; 39,2509 ; 9,905041 ; (-18,56, -28,19) ; 12,26728 ; 11,89648 ; 16,07073 ; -13,22751 ; -13,70162 ; 1,064834 ; 21,72556 ; 10,61661 
41 ; 9 ; 3 ; 6 ; 17 ; 13 ; 41,33606 ; 9,774718 ; (-17,43, -28,19) ; 12,26728 ; 11,89648 ; 16,07073 ; -13,22751 ; -13,70162 ; 1,064834 ; 23,48011 ; 10,59906 
42 ; 10 ; 7 ; 3 ; 19 ; 16 ; 38,8553 ; 13,06987 ; (-18,56, -28,19) ; 14,96932 ; 11,89648 ; 15,00603 ; -13,22751 ; -13,70162 ; 1,064834 ; 21,72556 ; 10,61661 
43 ; 10 ; 4 ; 6 ; 15 ; 16 ; 40,99154 ; 12,93636 ; (-20,23, -29,84) ; 12,26728 ; 11,89648 ; 16,9641 ; -14,72603 ; -13,30387 ; 1,064834 ; 24,15493 ; 10,59232 
44 ; 9 ; 6 ; 3 ; 15 ; 16 ; 38,8553 ; 13,06987 ; (-18,56, -27,55) ; 14,96932 ; 11,89648 ; 13,44467 ; -13,22751 ; -12,90613 ; 1,064834 ; 21,72556 ; 10,61661 
45 ; 10 ; 7 ; 3 ; 15 ; 16 ; 40,99154 ; 12,93636 ; (-20,23, -29,52) ; 14,96932 ; 11,89648 ; 16,18342 ; -14,72603 ; -12,90613 ; 1,064834 ; 24,15493 ; 10,59232 
46 ; 12 ; 6 ; 6 ; 19 ; 16 ; 40,99154 ; 12,93636 ; (-20,23, -31,81) ; 17,67136 ; 11,89648 ; 16,9641 ; -14,72603 ; -13,30387 ; 0,8164229 ; 24,15493 ; 10,59232 
47 ; 9 ; 6 ; 3 ; 15 ; 16 ; 39,2448 ; 10,90754 ; (-20,23, -31,49) ; 14,05083 ; 11,89648 ; 16,18342 ; -14,72603 ; -12,90613 ; 3,904739 ; 23,45373 ; 8,090499 
48 ; 9 ; 3 ; 6 ; 15 ; 16 ; 40,99154 ; 12,93636 ; (-20,23, -31,17) ; 17,67136 ; 11,89648 ; 15,40273 ; -14,72603 ; -12,50838 ; 0,8164229 ; 24,15493 ; 10,59232 
49 ; 8 ; 5 ; 3 ; 13 ; 16 ; 41,38103 ; 10,77403 ; (-21,89, -33,14) ; 14,05083 ; 11,89648 ; 18,14148 ; -16,22455 ; -12,50838 ; 3,904739 ; 25,88311 ; 8,066205 
50 ; 8 ; 2 ; 6 ; 13 ; 16 ; 40,98543 ; 13,93886 ; (-21,89, -33,14) ; 14,05083 ; 11,89648 ; 17,07679 ; -16,22455 ; -12,50838 ; 3,904739 ; 25,88311 ; 8,066205 
