Generation ; Total points ; Points from boxes ; Points from kills ; Steps ; Ray radius ; Sight ; moving speed ; Random direction ; Enemy weight ; Enemy distance factor ; Bullet weight ; Bullet distance factor ; Box weight ; Box distance factor ; projectile Speed ; Fire rate per minute 
0 ; 4 ; 1 ; 3 ; 21 ; 15 ; 32,54924 ; 5,897778 ; (-1,00, 1,00) ; 0 ; 0 ; 0 ; -0,1133893 ; 1,948412 ; 0 ; 9,998846 ; 15,11536 
1 ; 10 ; 4 ; 6 ; 19 ; 16 ; 30 ; 4 ; (-4,46, 1,00) ; 0 ; 0 ; -1,527417 ; 0 ; 1,548895 ; 3,04038 ; 11,92905 ; 16,81263 
2 ; 6 ; 3 ; 3 ; 21 ; 16 ; 30 ; 4 ; (-3,73, -0,97) ; 2,702041 ; 0 ; -1,527417 ; 0 ; 0 ; 2,791969 ; 13,05851 ; 16,81263 
3 ; 8 ; 2 ; 6 ; 22 ; 16 ; 28,74276 ; 4 ; (-3,73, -0,97) ; 2,728136 ; 0 ; 0,2974721 ; 0 ; 0 ; 2,791969 ; 13,05851 ; 16,81263 
4 ; 9 ; 3 ; 6 ; 22 ; 16 ; 28,74276 ; 4 ; (-5,19, 1,00) ; 2,728136 ; 0 ; 0,2974721 ; 0 ; 3,097789 ; 3,04038 ; 10,79958 ; 16,81263 
5 ; 7 ; 1 ; 6 ; 24 ; 16 ; 30,98931 ; 3,859591 ; (-4,46, -2,29) ; 5,430177 ; 0 ; 0,2974721 ; 0 ; 1,548895 ; 3,04038 ; 11,92905 ; 16,81263 
6 ; 7 ; 1 ; 6 ; 24 ; 16 ; 30,98931 ; 3,859591 ; (-4,46, -4,26) ; 5,430177 ; 0 ; 0,2974721 ; 0 ; 1,548895 ; 2,791969 ; 11,92905 ; 16,81263 
7 ; 5 ; 2 ; 3 ; 24 ; 16 ; 30,98931 ; 3,859591 ; (-4,46, -4,26) ; 5,430177 ; 1,38108 ; 0,2974721 ; 0 ; 0,3581359 ; 2,791969 ; 10,62704 ; 16,81263 
8 ; 9 ; 3 ; 6 ; 24 ; 16 ; 30,98931 ; 3,859591 ; (-5,19, -4,26) ; 5,430177 ; 1,38108 ; 0,2974721 ; 0 ; 1,907031 ; 2,791969 ; 9,49758 ; 16,81263 
9 ; 5 ; 2 ; 3 ; 24 ; 16 ; 33,12555 ; 3,726076 ; (-6,13, -6,23) ; 5,430177 ; 2,762159 ; 3,036222 ; -1,498519 ; -0,8326228 ; 2,791969 ; 11,75442 ; 16,78833 
10 ; 7 ; 1 ; 6 ; 21 ; 16 ; 30,98931 ; 3,859591 ; (-6,60, -7,27) ; 5,430177 ; 2,762159 ; 0,2974721 ; -1,862476 ; 0,7162719 ; 2,791969 ; 8,195578 ; 16,81263 
11 ; 6 ; 0 ; 6 ; 23 ; 14 ; 31,86831 ; 1,522054 ; (-6,13, -6,04) ; 5,456272 ; 2,762159 ; 4,861111 ; 0,2531068 ; -4,084665 ; 1,469143 ; 11,75442 ; 14,75968 
12 ; 8 ; 2 ; 6 ; 25 ; 16 ; 33,65858 ; 4,941741 ; (-6,13, -6,23) ; 7,327554 ; 2,762159 ; 2,684309 ; -1,498519 ; -0,8326228 ; 2,791969 ; 14,68472 ; 16,75903 
13 ; 6 ; 3 ; 3 ; 26 ; 16 ; 32,40134 ; 4,941741 ; (-6,13, -6,23) ; 7,353649 ; 2,762159 ; 4,509197 ; -1,498519 ; -0,8326228 ; 2,791969 ; 14,68472 ; 16,75903 
14 ; 6 ; 3 ; 3 ; 23 ; 14 ; 33,37623 ; 4,996527 ; (-6,13, -8,01) ; 9,250281 ; 2,762159 ; 4,861111 ; 0,2531068 ; -4,084665 ; 1,220733 ; 16,11435 ; 14,71608 
15 ; 9 ; 3 ; 6 ; 24 ; 14 ; 32,11899 ; 4,996527 ; (-6,13, -8,01) ; 9,276377 ; 2,762159 ; 6,686 ; 0,2531068 ; -4,084665 ; 1,220733 ; 16,11435 ; 14,71608 
16 ; 7 ; 1 ; 6 ; 23 ; 14 ; 31,52423 ; 3,809778 ; (-6,13, -2,98) ; 5,083859 ; 5,894526 ; 2,684309 ; 0,2531068 ; -1,57958 ; 2,725514 ; 15,41314 ; 12,21426 
17 ; 8 ; 2 ; 6 ; 24 ; 14 ; 30,26699 ; 3,809778 ; (-6,13, -2,98) ; 5,109954 ; 5,894526 ; 4,509197 ; 0,2531068 ; -1,57958 ; 2,725514 ; 15,41314 ; 12,21426 
18 ; 6 ; 3 ; 3 ; 23 ; 14 ; 34,34023 ; 3,513572 ; (-7,93, -9,98) ; 10,83751 ; 4,620875 ; 2,684309 ; -1,282051 ; -7,495869 ; 2,896779 ; 15,41314 ; 10,71879 
19 ; 7 ; 1 ; 6 ; 25 ; 14 ; 31,25631 ; 3,669369 ; (-6,13, -6,28) ; 5,136049 ; 5,894526 ; 6,334086 ; 0,2531068 ; -1,57958 ; 2,725514 ; 15,41314 ; 12,21426 
20 ; 5 ; 2 ; 3 ; 25 ; 14 ; 31,25631 ; 3,669369 ; (-6,13, -6,28) ; 5,136049 ; 7,275605 ; 6,334086 ; 0,2531068 ; -2,770339 ; 2,725514 ; 14,11114 ; 12,21426 
21 ; 9 ; 3 ; 6 ; 26 ; 14 ; 29,99907 ; 3,669369 ; (-6,13, -6,28) ; 5,162144 ; 7,275605 ; 8,158976 ; 0,2531068 ; -2,770339 ; 2,725514 ; 14,11114 ; 12,21426 
22 ; 8 ; 2 ; 6 ; 27 ; 14 ; 28,74183 ; 3,669369 ; (-6,13, -6,28) ; 5,188239 ; 7,275605 ; 9,983865 ; 0,2531068 ; -2,770339 ; 2,725514 ; 14,11114 ; 12,21426 
23 ; 5 ; 2 ; 3 ; 25 ; 14 ; 34,05716 ; 3,494315 ; (-7,93, -8,24) ; 7,641764 ; 10,5154 ; 6,334086 ; -1,282051 ; -7,372302 ; 1,313244 ; 12,80914 ; 10,71879 
24 ; 7 ; 4 ; 3 ; 25 ; 14 ; 33,66156 ; 6,659145 ; (-7,93, -8,24) ; 7,641764 ; 10,5154 ; 5,269393 ; -1,282051 ; -7,372302 ; 1,313244 ; 12,80914 ; 10,71879 
25 ; 6 ; 3 ; 3 ; 26 ; 14 ; 32,40432 ; 6,659145 ; (-7,93, -8,24) ; 7,667859 ; 10,5154 ; 7,094282 ; -1,282051 ; -7,372302 ; 1,313244 ; 12,80914 ; 10,71879 
26 ; 6 ; 3 ; 3 ; 24 ; 14 ; 34,05716 ; 3,494315 ; (-9,34, -13,23) ; 10,34381 ; 10,5154 ; 6,334086 ; -3,144527 ; -7,372302 ; 1,064834 ; 12,80914 ; 10,71879 
27 ; 9 ; 3 ; 6 ; 27 ; 14 ; 31,14708 ; 6,659145 ; (-8,66, -8,24) ; 7,693954 ; 10,5154 ; 8,919171 ; -1,282051 ; -5,823407 ; 1,313244 ; 11,67968 ; 10,71879 
28 ; 6 ; 3 ; 3 ; 29 ; 14 ; 33,28332 ; 6,52563 ; (-9,60, -10,22) ; 10,396 ; 10,5154 ; 11,65792 ; -2,780571 ; -7,372302 ; 1,313244 ; 15,23851 ; 10,6945 
29 ; 7 ; 1 ; 6 ; 24 ; 14 ; 35,41955 ; 6,392115 ; (-12,67, -15,20) ; 7,693954 ; 10,5154 ; 14,39667 ; -6,141566 ; -7,372302 ; 1,313244 ; 17,66789 ; 10,67021 
30 ; 6 ; 6 ; 0 ; 24 ; 14 ; 35,02395 ; 9,556945 ; (-12,67, -15,20) ; 7,693954 ; 10,5154 ; 13,33198 ; -6,141566 ; -7,372302 ; 1,313244 ; 17,66789 ; 10,67021 
31 ; 6 ; 0 ; 6 ; 27 ; 16 ; 33,97961 ; 8,387382 ; (-11,33, -12,19) ; 7,693954 ; 10,5154 ; 14,39667 ; -4,27909 ; -12,51086 ; 1,313244 ; 17,66789 ; 10,67021 
32 ; 9 ; 6 ; 3 ; 26 ; 14 ; 35,02395 ; 9,556945 ; (-12,67, -15,20) ; 10,396 ; 11,89648 ; 13,33198 ; -6,141566 ; -8,563061 ; 1,313244 ; 16,36589 ; 10,67021 
