Generation ; Total points ; Points from boxes ; Points from kills ; Steps ; Ray radius ; Sight ; moving speed ; Random direction ; Enemy weight ; Enemy distance factor ; Bullet weight ; Bullet distance factor ; Box weight ; Box distance factor ; projectile Speed ; Fire rate per minute 
16 ; 3 ; 0 ; 3 ; 20 ; 19 ; 48,16109 ; 9,309295 ; (-8,84, 8,33) ; 9,420865 ; 21,09015 ; -3,291813 ; -5,921621 ; -21,33846 ; -9,595034 ; 11,6262 ; 6 
17 ; 3 ; 0 ; 3 ; 21 ; 19 ; 48,16109 ; 9,309295 ; (-10,25, 5,31) ; 12,12291 ; 21,09015 ; -3,291813 ; -8,01511 ; -21,33846 ; -9,595034 ; 11,6262 ; 6 
18 ; 4 ; 1 ; 3 ; 19 ; 19 ; 46,41436 ; 7,280483 ; (-10,97, 5,31) ; 8,50238 ; 21,09015 ; -3,291813 ; -8,01511 ; -19,78957 ; -6,506718 ; 9,795534 ; 6 
19 ; 4 ; 1 ; 3 ; 19 ; 19 ; 48,28032 ; 7,890603 ; (-10,25, 8,26) ; 10,37366 ; 21,09015 ; -3,291813 ; -8,01511 ; -21,33846 ; -9,54576 ; 13,8553 ; 6 
20 ; 4 ; 1 ; 3 ; 21 ; 19 ; 46,39994 ; 7,395847 ; (-10,97, 8,26) ; 11,20442 ; 21,09015 ; -3,291813 ; -8,01511 ; -19,78957 ; -9,54576 ; 9,795534 ; 6 
21 ; 4 ; 1 ; 3 ; 23 ; 19 ; 46,30982 ; 8,116757 ; (-10,25, 8,26) ; 13,90646 ; 21,09015 ; -5,468615 ; -8,01511 ; -21,33846 ; -9,54576 ; 10,925 ; 6 
22 ; 3 ; 0 ; 3 ; 23 ; 19 ; 46,39994 ; 7,395847 ; (-10,25, 8,26) ; 16,60851 ; 21,09015 ; -3,291813 ; -7,784098 ; -21,33846 ; -9,54576 ; 10,925 ; 6 
23 ; 4 ; 1 ; 3 ; 18 ; 19 ; 46,39994 ; 7,395847 ; (-12,38, 5,25) ; 13,90646 ; 21,09015 ; -3,291813 ; -9,646574 ; -19,78957 ; -9,54576 ; 9,795534 ; 6 
24 ; 3 ; 0 ; 3 ; 18 ; 19 ; 46,39994 ; 7,395847 ; (-11,65, 5,25) ; 16,60851 ; 21,09015 ; -3,291813 ; -9,415562 ; -21,33846 ; -9,54576 ; 10,925 ; 6 
25 ; 3 ; 0 ; 3 ; 19 ; 19 ; 46,39994 ; 7,395847 ; (-13,06, 2,23) ; 19,31055 ; 21,09015 ; -3,291813 ; -11,50905 ; -21,33846 ; -9,54576 ; 10,925 ; 6 
26 ; 3 ; 0 ; 3 ; 19 ; 19 ; 44,6532 ; 5,367036 ; (-13,06, 2,23) ; 18,39206 ; 21,09015 ; -3,291813 ; -11,50905 ; -21,33846 ; -6,457444 ; 10,22379 ; 6 
27 ; 3 ; 0 ; 3 ; 21 ; 21 ; 49,18239 ; 5,256619 ; (-11,33, 2,23) ; 19,31055 ; 17,9218 ; -1,732751 ; -11,50905 ; -21,92289 ; -12,44329 ; 7,709609 ; 6 
28 ; 4 ; 1 ; 3 ; 16 ; 21 ; 46,21016 ; 8,91411 ; (-15,20, -0,78) ; 19,31055 ; 17,9218 ; -3,648666 ; -13,37153 ; -19,78957 ; -9,54576 ; 9,795534 ; 6 
29 ; 4 ; 1 ; 3 ; 18 ; 21 ; 46,12004 ; 9,63502 ; (-14,47, -0,78) ; 22,01259 ; 17,9218 ; -5,825469 ; -13,37153 ; -21,33846 ; -9,54576 ; 10,925 ; 6 
30 ; 4 ; 1 ; 3 ; 16 ; 21 ; 46,21016 ; 8,91411 ; (-15,20, -0,78) ; 22,01259 ; 17,9218 ; -3,648666 ; -13,14051 ; -19,78957 ; -9,54576 ; 9,795534 ; 6 
31 ; 4 ; 1 ; 3 ; 18 ; 22 ; 46,31532 ; 8,907537 ; (-14,47, -0,78) ; 24,71463 ; 17,9218 ; -3,648666 ; -13,14051 ; -23,90775 ; -9,54576 ; 10,925 ; 6 
32 ; 4 ; 1 ; 3 ; 18 ; 22 ; 46,31532 ; 8,907537 ; (-14,47, -2,75) ; 24,71463 ; 17,9218 ; -3,648666 ; -13,14051 ; -23,90775 ; -9,79417 ; 10,925 ; 6 
33 ; 4 ; 1 ; 3 ; 18 ; 21 ; 49,28756 ; 5,250047 ; (-9,70, 0,33) ; 23,85598 ; 18,79747 ; -1,732751 ; -13,21145 ; -24,49217 ; -12,96951 ; 7,709609 ; 6 
34 ; 4 ; 1 ; 3 ; 20 ; 22 ; 52,08841 ; 5,074994 ; (-14,54, -2,75) ; 27,22034 ; 19,78052 ; -1,732751 ; -14,67567 ; -27,90337 ; -13,85556 ; 7,709609 ; 6 
35 ; 4 ; 1 ; 3 ; 20 ; 22 ; 52,2598 ; 1,592556 ; (-11,01, -2,75) ; 24,71463 ; 17,9218 ; 0,1831634 ; -12,9095 ; -25,0766 ; -15,58923 ; 4,49422 ; 6 
36 ; 4 ; 1 ; 3 ; 18 ; 22 ; 53,04833 ; 6,239558 ; (-12,74, -2,75) ; 28,4572 ; 17,9218 ; -1,732751 ; -12,9095 ; -24,49217 ; -12,6917 ; 13,5702 ; 6 
37 ; 4 ; 1 ; 3 ; 20 ; 22 ; 51,86419 ; 4,757385 ; (-11,74, -2,75) ; 24,71463 ; 17,9218 ; -0,88153 ; -12,9095 ; -23,5277 ; -15,58923 ; 3,364755 ; 6 
38 ; 4 ; 1 ; 3 ; 20 ; 21 ; 51,77408 ; 5,478295 ; (-7,97, 0,33) ; 26,55803 ; 18,79747 ; -3,058332 ; -12,98044 ; -25,0766 ; -15,86703 ; 4,49422 ; 6 
39 ; 3 ; 0 ; 3 ; 22 ; 21 ; 54,66505 ; 4,582332 ; (-9,77, 0,33) ; 31,76578 ; 20,65618 ; -0,88153 ; -14,5156 ; -28,4878 ; -17,03089 ; 4,49422 ; 6 
40 ; 4 ; 1 ; 3 ; 20 ; 21 ; 53,25886 ; 9,13788 ; (-7,97, 0,33) ; 28,42931 ; 18,79747 ; -4,123026 ; -12,98044 ; -25,0766 ; -15,86703 ; 7,424517 ; 6 
41 ; 4 ; 1 ; 3 ; 24 ; 21 ; 51,37848 ; 8,643125 ; (-7,97, 0,33) ; 31,96211 ; 18,79747 ; -4,123026 ; -12,98044 ; -25,0766 ; -15,86703 ; 4,49422 ; 6 
42 ; 3 ; 0 ; 3 ; 24 ; 21 ; 53,25886 ; 9,13788 ; (-7,97, 0,33) ; 33,83339 ; 18,79747 ; -4,123026 ; -12,98044 ; -25,0766 ; -15,86703 ; 7,424517 ; 6 
43 ; 3 ; 0 ; 3 ; 19 ; 20 ; 53,25886 ; 9,13788 ; (-6,34, 0,39) ; 32,97475 ; 19,67313 ; -4,123026 ; -14,91385 ; -25,0766 ; -16,14484 ; 7,424517 ; 6 
44 ; 4 ; 1 ; 3 ; 19 ; 22 ; 56,16488 ; 8,956254 ; (-11,18, -2,69) ; 33,63707 ; 20,65618 ; -4,123026 ; -16,37807 ; -31,05708 ; -17,03089 ; 7,424517 ; 6 
45 ; 3 ; 0 ; 3 ; 21 ; 21 ; 58,19595 ; 8,829312 ; (-12,85, -4,66) ; 36,33911 ; 20,65618 ; -1,384276 ; -17,87659 ; -28,4878 ; -17,03089 ; 9,853891 ; 6 
46 ; 3 ; 0 ; 3 ; 19 ; 21 ; 58,19595 ; 8,829312 ; (-12,85, -4,66) ; 36,33911 ; 20,65618 ; -1,384276 ; -17,64558 ; -28,4878 ; -17,03089 ; 9,853891 ; 6 
47 ; 4 ; 1 ; 3 ; 17 ; 21 ; 60,9968 ; 8,654259 ; (-14,65, -6,63) ; 36,14278 ; 22,5149 ; -1,384276 ; -19,18074 ; -31,899 ; -18,44316 ; 9,853891 ; 6 
48 ; 4 ; 1 ; 3 ; 17 ; 21 ; 58,19595 ; 8,829312 ; (-13,58, -8,59) ; 33,63707 ; 20,65618 ; -1,384276 ; -17,64558 ; -26,9389 ; -17,52772 ; 8,724426 ; 6 
49 ; 3 ; 0 ; 3 ; 21 ; 21 ; 58,19595 ; 8,829312 ; (-12,85, -8,59) ; 39,04115 ; 20,65618 ; -1,384276 ; -17,64558 ; -28,4878 ; -17,52772 ; 9,853891 ; 6 
50 ; 4 ; 1 ; 3 ; 19 ; 21 ; 60,33218 ; 8,695798 ; (-15,24, -10,57) ; 36,33911 ; 20,65618 ; 1,354474 ; -19,1441 ; -26,9389 ; -17,52772 ; 11,1538 ; 6 
