Generation ; Total points ; Points from boxes ; Points from kills ; Steps ; Ray radius ; Sight ; moving speed ; Random direction ; Enemy weight ; Enemy distance factor ; Bullet weight ; Bullet distance factor ; Box weight ; Box distance factor ; projectile Speed ; Fire rate per minute 
0 ; 3 ; 0 ; 3 ; 19 ; 16 ; 30 ; 4 ; (-3,73, 1,00) ; 0 ; 0 ; -1,527417 ; 0 ; 0 ; 3,04038 ; 13,05851 ; 16,81263 
1 ; 5 ; 2 ; 3 ; 20 ; 16 ; 28,74276 ; 4 ; (-3,73, 1,00) ; 0,02609491 ; 0 ; 0,2974721 ; 0 ; 0 ; 3,04038 ; 13,05851 ; 16,81263 
2 ; 4 ; 1 ; 3 ; 22 ; 16 ; 29,98486 ; 4,121153 ; (-1,73, 4,18) ; -3,247937 ; 3,253519 ; 0 ; 3,058315 ; 0,8060424 ; 1,300421 ; 8,870535 ; 15 
3 ; 4 ; 1 ; 3 ; 22 ; 16 ; 32,78571 ; 3,9461 ; (-3,53, 4,18) ; -0,7422223 ; 5,112236 ; 0 ; 1,523157 ; -2,605161 ; 0,1365619 ; 8,870535 ; 13,50453 
4 ; 4 ; 1 ; 3 ; 22 ; 16 ; 35,58656 ; 3,771046 ; (-5,33, 4,18) ; 1,763493 ; 6,970953 ; 0 ; -0,01200104 ; -6,016365 ; -1,027297 ; 8,870535 ; 12,00907 
5 ; 4 ; 1 ; 3 ; 22 ; 16 ; 35,57142 ; 3,892199 ; (-5,33, 7,24) ; -1,484445 ; 10,10332 ; 0 ; -0,01200104 ; -3,51128 ; -2,859242 ; 8,870535 ; 12,00907 
6 ; 4 ; 1 ; 3 ; 22 ; 16 ; 38,37227 ; 3,717146 ; (-7,13, 7,24) ; 1,02127 ; 11,96204 ; 0 ; -1,547159 ; -6,922483 ; -4,023101 ; 8,870535 ; 10,5136 
7 ; 4 ; 1 ; 3 ; 22 ; 16 ; 41,17313 ; 3,542093 ; (-8,93, 7,24) ; 3,526985 ; 13,82075 ; 0 ; -3,082317 ; -10,33369 ; -5,18696 ; 8,870535 ; 9,018135 
8 ; 4 ; 1 ; 3 ; 22 ; 16 ; 41,15798 ; 3,663246 ; (-8,93, 10,29) ; 0,279048 ; 16,95312 ; 0 ; -3,082317 ; -7,828602 ; -7,018906 ; 8,870535 ; 9,018135 
9 ; 3 ; 0 ; 3 ; 22 ; 18 ; 40,9682 ; 5,181509 ; (-8,93, 10,29) ; 0,279048 ; 13,78477 ; -0,3568535 ; -3,082317 ; -7,828602 ; -7,018906 ; 8,870535 ; 6 
10 ; 3 ; 0 ; 3 ; 24 ; 17 ; 44,064 ; 3,481619 ; (-10,00, 10,29) ; 5,486804 ; 18,81184 ; 0 ; -4,617476 ; -15,35798 ; -8,182764 ; 10 ; 7,522669 
11 ; 3 ; 0 ; 3 ; 20 ; 16 ; 44,16917 ; 1,271025 ; (-10,00, 10,48) ; 2,784763 ; 18,81184 ; 0 ; -2,865849 ; -21,1793 ; -9,50559 ; 10 ; 6 
12 ; 4 ; 1 ; 3 ; 22 ; 19 ; 43,85232 ; 6,009875 ; (-7,77, 10,29) ; 3,121141 ; 19,23143 ; -3,291813 ; -4,617476 ; -16,37837 ; -8,182764 ; 6,136806 ; 7,522669 
13 ; 3 ; 0 ; 3 ; 20 ; 17 ; 46,65317 ; 3,630801 ; (-8,84, 10,48) ; 5,626856 ; 21,09015 ; -3,291813 ; -4,401008 ; -24,59051 ; -10,66945 ; 7,266271 ; 6 
14 ; 3 ; 0 ; 3 ; 22 ; 19 ; 46,63875 ; 5,950187 ; (-8,84, 11,28) ; 5,626856 ; 21,09015 ; -3,291813 ; -6,152634 ; -21,33846 ; -12,63408 ; 7,266271 ; 6 
15 ; 4 ; 1 ; 3 ; 22 ; 19 ; 46,19059 ; 9,535449 ; (-8,84, 8,33) ; 7,549583 ; 21,09015 ; -5,468615 ; -6,152634 ; -21,33846 ; -9,595034 ; 8,695904 ; 6,012906 
